dataset,filename,image_path,read_error,width,height,megapixels,aspect_width_height,aspect_long_short,portrait,brightness,contrast,blur_laplacian,edge_density,entropy,saturation,dark_fraction,bright_fraction,gt_regions,vertices_mean,vertices_max,short_side_1024_median,short_side_1024_q10,small_text_lt8_ratio,small_text_lt12_ratio,polygon_area_ratio_median,polygon_area_ratio_sum,polygon_angle_abs_median
train,drp.en_ko.in_house.selectstar_000003.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000003.jpg,False,960,1280,1.2288,0.75,1.3333333333333333,True,0.5232558306525735,0.2654196950937773,3355.9477555836397,0.08466084798177083,7.332655906677246,0.4311815448835784,0.144622802734375,0.03289794921875,89,4.202247191011236,10.0,19.928027343750003,15.469290466308594,0.011235955056179775,0.056179775280898875,0.0015572405766397423,0.1786780988561612,0.0
train,drp.en_ko.in_house.selectstar_000005.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000005.jpg,False,720,1280,0.9216,0.5625,1.7777777777777777,True,0.5453535358370779,0.20389113497840275,1455.051268047021,0.08367241753472222,7.248798370361328,0.17591504863664215,0.07990858289930555,0.013543023003472222,99,4.0606060606060606,6.0,20.191992187500002,18.41522399902344,0.0,0.030303030303030304,0.0015134826115071418,0.2122316712173847,0.0
train,drp.en_ko.in_house.selectstar_000006.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000006.jpg,False,960,1280,1.2288,0.75,1.3333333333333333,True,0.5363244549121732,0.22599009902592304,893.2840455306899,0.0418243408203125,7.009798049926758,0.3206406936146855,0.033014933268229164,0.08805338541666667,57,4.2105263157894735,6.0,13.383981323242189,9.047214660644531,0.07017543859649122,0.47368421052631576,0.0009890017521380892,0.07526340742712744,3.248818874359131
train,drp.en_ko.in_house.selectstar_000008.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000008.jpg,False,398,1280,0.50944,0.3109375,3.2160804020100504,True,0.7421843206622272,0.1308807616453375,2603.068340209922,0.14401533018867924,6.779711723327637,0.11068503167776544,0.009667354559748428,0.09059306210691824,162,4.08641975308642,8.0,14.735984802246094,12.41599365234375,0.037037037037037035,0.09259259259259259,0.0018107119041348993,0.3736191040307356,0.0
train,drp.en_ko.in_house.selectstar_000009.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000009.jpg,False,960,1280,1.2288,0.75,1.3333333333333333,True,0.49775017632378477,0.17198930897515596,1258.084798003133,0.07976277669270833,6.969311714172363,0.2831123900569342,0.0421905517578125,0.0,142,4.295774647887324,12.0,15.996209716796876,7.62159164428711,0.1267605633802817,0.20422535211267606,0.0009281200464244914,0.17991268981693465,0.0
train,drp.en_ko.in_house.selectstar_000010.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000010.jpg,False,720,1280,0.9216,0.5625,1.7777777777777777,True,0.5902146150343818,0.22422851833368876,1225.8270668689115,0.08228895399305555,7.12910270690918,0.14888285717933006,0.0904880099826389,0.00018310546875,71,4.0,4.0,22.903979492187503,15.68798828125,0.014084507042253521,0.04225352112676056,0.0023282636459932998,0.22373116303864254,0.0
train,drp.en_ko.in_house.selectstar_000011.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000011.jpg,False,960,1280,1.2288,0.75,1.3333333333333333,True,0.5208255543428308,0.2024783766919358,1564.8729676430166,0.0909423828125,6.942169666290283,0.04573471966911765,0.10475667317708333,0.0,127,4.0,4.0,15.543418884277344,8.184013671875,0.07086614173228346,0.15748031496062992,0.0006168013676506234,0.1192543671713271,0.0
train,drp.en_ko.in_house.selectstar_000012.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000012.jpg,False,769,1280,0.98432,0.60078125,1.6644993498049414,True,0.6044097255379425,0.2905989307612326,1764.4883446501206,0.060115665584415584,7.167910575866699,0.1304622594776547,0.17091112012987014,0.17171012581168832,108,4.0,4.0,15.368002319335938,12.727561492919923,0.0,0.09259259259259259,0.0006120194412733977,0.13840220695595495,0.0
train,drp.en_ko.in_house.selectstar_000014.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000014.jpg,False,960,1280,1.2288,0.75,1.3333333333333333,True,0.5133313347311581,0.2104138913978432,1392.3368714864675,0.08771769205729167,7.2375335693359375,0.05351057862923815,0.14518229166666666,0.00017293294270833334,87,4.0,4.0,20.319995117187503,10.80042984008789,0.011494252873563218,0.13793103448275862,0.0011726140794356373,0.14747670293840576,0.0
train,drp.en_ko.in_house.selectstar_000015.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000015.jpg,False,1280,1280,1.6384,1.0,1.0,False,0.6671128067315794,0.1109651064146741,1050.6034053195617,0.045917510986328125,6.2021307945251465,0.08643595377604167,0.002239227294921875,0.0,111,4.0,4.0,20.914106750488283,17.36973876953125,0.02702702702702703,0.09009009009009009,0.0006442352975682298,0.11274914926358619,0.8137893676757812
